image_name,quality_mos
0_Indoor_Scene_0.jpg,0.632436624
1.jpg,0.76
10.jpg,0.6415
1000_Indoor_Scene_10.jpg,0.280961034
1001_Indoor_Scene_10.jpg,0.178275301
1002.jpg,0.7075
1002_Indoor_Scene_10.jpg,0.489939835
1003.jpg,0.714
1003_Indoor_Scene_10.jpg,0.718803455
1004.jpg,0.674
1004_Indoor_Scene_10.jpg,0.531146406
1005.jpg,0.809
1005_Indoor_Scene_10.jpg,0.660076856
1006.jpg,0.7125
1006_Indoor_Scene_10.jpg,0.62323373
1007.jpg,0.7115
1007_Indoor_Scene_10.jpg,0.725557421
1008_Indoor_Scene_10.jpg,0.609994104
1009.jpg,0.725
1009_Indoor_Scene_10.jpg,0.307162744
100_Indoor_Scene_1.jpg,0.6051496
101.jpg,0.741
1010.jpg,0.7205
1010_Indoor_Scene_10.jpg,0.676050988
1011.jpg,0.735
1011_Indoor_Scene_10.jpg,0.775754815
1012.jpg,0.6675
1012_Indoor_Scene_10.jpg,0.566427313
1013.jpg,0.7465
1013_Indoor_Scene_10.JPG,0.575089675
1014.jpg,0.7465
1014_Indoor_Scene_10.jpg,0.678839981
1015.jpg,0.8105
1015_Indoor_Scene_10.jpg,0.512710968
1016_Indoor_Scene_10.jpg,0.563497952
1017.jpg,0.7425
1017_Indoor_Scene_10.jpg,0.629155021
1018.jpg,0.703
1018_Indoor_Scene_10.jpg,0.609645394
1019.jpg,0.6655
1019_Indoor_Scene_10.jpg,0.609052051
101_Indoor_Scene_1.jpg,0.411204632
102.jpg,0.808
1020.jpg,0.7225
1020_Indoor_Scene_10.jpg,0.713609309
1021_Indoor_Scene_10.jpg,0.700392621
1022.jpg,0.746
1022_Indoor_Scene_10.jpg,0.628834411
1023.jpg,0.7495
1023_Indoor_Scene_10.jpg,0.54975752
1024.jpg,0.6625
1024_Indoor_Scene_10.jpg,0.695495745
1025_Indoor_Scene_10.jpg,0.698930149
1026.jpg,0.7925
1026_Indoor_Scene_10.jpg,0.690321178
1027.jpg,0.7565
1027_Indoor_Scene_10.jpg,0.765532015
1028.jpg,0.7635
1028_Indoor_Scene_10.jpg,0.856002149
1029_Indoor_Scene_10.jpg,0.568307073
102_Indoor_Scene_1.jpg,0.645073293
103.jpg,0.766
1030.jpg,0.725
1030_Indoor_Scene_10.jpg,0.517611384
1031_Indoor_Scene_10.jpg,0.57727731
1032.jpg,0.795
1032_Indoor_Scene_10.jpg,0.567486365
1033.jpg,0.732
1033_Indoor_Scene_10.jpg,0.371279973
1034.jpg,0.7345
1034_Indoor_Scene_10.jpg,0.515213139
1035.jpg,0.782
1035_Indoor_Scene_10.jpg,0.650694811
1036_Indoor_Scene_10.jpg,0.763596951
1037.jpg,0.7355
1037_Indoor_Scene_10.jpg,0.696747976
1038.jpg,0.8115
1038_Indoor_Scene_10.JPG,0.612046923
1039_Indoor_Scene_10.jpg,0.538897214
103_Indoor_Scene_1.jpg,0.601527069
104.jpg,0.6885
1040.jpg,0.6975
1040_Indoor_Scene_10.jpg,0.632507547
1041_Indoor_Scene_10.jpg,0.716143638
1042_Indoor_Scene_10.jpg,0.616810937
1043_Indoor_Scene_10.jpg,0.627381621
1044.jpg,0.752
1044_Indoor_Scene_10.jpg,0.576351968
1045.jpg,0.713
1045_Indoor_Scene_10.jpg,0.675085436
1046_Indoor_Scene_10.jpg,0.726846953
1047_Indoor_Scene_10.jpg,0.637676121
1048.jpg,0.664
1048_Indoor_Scene_10.jpg,0.540558025
1049.jpg,0.7995
1049_Indoor_Scene_10.jpg,0.627476286
104_Indoor_Scene_1.jpg,0.735351204
105.jpg,0.763
1050_Indoor_Scene_10.jpg,0.58032367
1051.jpg,0.7825
1051_Indoor_Scene_10.jpg,0.58343245
1052_Indoor_Scene_10.jpg,0.666570923
1053.jpg,0.789
1053_Indoor_Scene_10.jpg,0.684001522
1054.jpg,0.6615
1054_Indoor_Scene_10.JPG,0.606373061
1055.jpg,0.72
1055_Indoor_Scene_10.jpg,0.570564699
1056_Indoor_Scene_10.JPG,0.621789483
1057.jpg,0.604
1057_Indoor_Scene_10.jpg,0.734805984
1058.jpg,0.727
1058_Indoor_Scene_10.jpg,0.652205308
1059_Indoor_Scene_10.jpg,0.579219698
105_Indoor_Scene_1.jpg,0.765313896
106.jpg,0.708
1060_Indoor_Scene_10.jpg,0.558762681
1061_Indoor_Scene_10.JPG,0.511197733
1062_Indoor_Scene_10.jpg,0.655666644
1063.jpg,0.7235
1063_Indoor_Scene_10.jpg,0.595616798
1064.jpg,0.749
1064_Indoor_Scene_10.jpg,0.686894232
1065_Indoor_Scene_10.jpg,0.711514475
1066.jpg,0.7855
1066_Indoor_Scene_10.jpg,0.545927408
1067.jpg,0.674
1067_Indoor_Scene_10.jpg,0.645253583
1068.jpg,0.731
1068_Indoor_Scene_10.jpg,0.51023608
1069.jpg,0.7485
1069_Indoor_Scene_10.jpg,0.616662396
106_Indoor_Scene_1.jpg,0.572621851
107.jpg,0.7145
1070_Indoor_Scene_10.jpg,0.622631494
1071_Indoor_Scene_10.jpg,0.524219733
1072.jpg,0.692
1072_Indoor_Scene_10.jpg,0.801361455
1073.jpg,0.7305
1073_Indoor_Scene_10.jpg,0.571371773
1074_Indoor_Scene_10.JPG,0.579865166
1075_Indoor_Scene_10.jpg,0.325683732
1076_Indoor_Scene_10.jpg,0.474000322
1077.jpg,0.7235
1077_Indoor_Scene_10.jpg,0.741403137
1078_Indoor_Scene_10.jpg,0.554575159
1079_Indoor_Scene_10.jpg,0.522725437
107_Indoor_Scene_1.jpg,0.506248894
108.jpg,0.7665
1080_Indoor_Scene_10.jpg,0.661436012
1081.jpg,0.7935
1081_Indoor_Scene_10.jpg,0.756059099
1082.jpg,0.72
1082_Indoor_Scene_10.jpg,0.442230259
1083_Indoor_Scene_10.jpg,0.274077622
1084.jpg,0.714
1084_Indoor_Scene_10.jpg,0.650189072
1085.jpg,0.8365
1085_Indoor_Scene_10.jpg,0.574583191
1086.jpg,0.6655
1086_Indoor_Scene_10.jpg,0.638808852
1087_Indoor_Scene_10.jpg,0.527844733
1088_Indoor_Scene_10.jpg,0.374726905
1089.jpg,0.777
1089_Indoor_Scene_10.jpg,0.591674785
108_Indoor_Scene_1.jpg,0.530011628
1090_Indoor_Scene_10.JPG,0.507661865
1091_Indoor_Scene_10.jpg,0.593223699
1092.jpg,0.731
1092_Indoor_Scene_10.jpg,0.570423424
1093_Indoor_Scene_10.jpg,0.49956911
1094.jpg,0.7425
1094_Indoor_Scene_10.jpg,0.57386629
1095.jpg,0.809
1095_Indoor_Scene_10.jpg,0.292137736
1096.jpg,0.697
1096_Indoor_Scene_10.jpg,0.487794236
1097.jpg,0.707
1097_Indoor_Scene_10.jpg,0.564784326
1098.jpg,0.638
1098_Indoor_Scene_10.jpg,0.677125902
1099.jpg,0.822
1099_Indoor_Scene_10.jpg,0.437019974
109_Indoor_Scene_1.JPG,0.616554881
10_Indoor_Scene_0.jpg,0.813080958
11.jpg,0.6395
110.jpg,0.72
1100.jpg,0.783
1100_Indoor_Scene_10.jpg,0.455849601
1101_Indoor_Scene_10.JPG,0.296239461
1102.jpg,0.6335
1102_Indoor_Scene_10.jpg,0.66553942
1103.jpg,0.807
1103_Indoor_Scene_10.jpg,0.5537559
1104_Indoor_Scene_10.jpg,0.650520072
1105.jpg,0.678
1105_Indoor_Scene_10.jpg,0.695366324
1106_Indoor_Scene_10.jpg,0.705196138
1107.jpg,0.7615
1107_Indoor_Scene_10.jpg,0.485906165
1108.jpg,0.789
1108_Indoor_Scene_10.jpg,0.475424964
1109_Indoor_Scene_10.jpg,0.643668565
110_Indoor_Scene_1.jpg,0.597090988
111.jpg,0.669
1110.jpg,0.7655
1110_Indoor_Scene_11.jpg,0.712083276
1111.jpg,0.789
1111_Indoor_Scene_11.jpg,0.761766802
1112_Indoor_Scene_11.JPG,0.450279024
1113_Indoor_Scene_11.JPG,0.48851723
1114.jpg,0.7385
1114_Indoor_Scene_11.JPG,0.517708328
1115.jpg,0.7625
1115_Indoor_Scene_11.jpg,0.730451224
1116.jpg,0.72
1116_Indoor_Scene_11.jpg,0.526592617
1117.jpg,0.7555
1117_Indoor_Scene_11.jpg,0.682031221
1118.jpg,0.7735
1118_Indoor_Scene_11.jpg,0.570329051
1119.jpg,0.8005
1119_Indoor_Scene_11.jpg,0.466884678
111_Indoor_Scene_1.jpg,0.553928733
1120_Indoor_Scene_11.JPG,0.563437823
1121.jpg,0.766
