"image_name","MOS_zscore","MOS"
"826373.jpg",77.7457983193277,3.925619834
"2017266.jpg",62.5953389830508,3.333333333
"2190310.jpg",58.3269230769231,3.183333333
"2704811.jpg",47.3974358974359,2.791666666
"3039024.jpg",43.4487179487179,2.633333333
"3615562.jpg",24.3516949152542,1.933333333
"3620726.jpg",24.2247899159664,1.900826446
"3628043.jpg",70.75,3.62601626
"4947244.jpg",36.1818181818182,2.325203252
"5076506.jpg",73.3088235294118,3.752066115
"5129172.jpg",18.5399159663866,1.685950413
"5354698.jpg",77.7045454545455,3.894308943
"5962747.jpg",25.8181818181818,1.951219512
"6596306.jpg",40.6282051282051,2.525
"6841095.jpg",27.0192307692308,2.016666666
"7162655.jpg",67.4935897435897,3.55
"7583515.jpg",31.781512605042,2.190082644
"7924366.jpg",10.4978991596639,1.388429752
"9813135.jpg",45.8771551724138,2.758333333
"9814999.jpg",47.796218487395,2.801652892
"9935622.jpg",39.8728813559322,2.516666666
"10325321.jpg",76.8717948717949,3.866666666
"10458591.jpg",51.4871794871795,2.908333333
"10856757.jpg",32.2954545454545,2.195121951
"11706252.jpg",32.2521186440678,2.225
"12949713.jpg",84.9102564102564,4.158333333
"13325497.jpg",60.2307692307692,3.258333333
"14092652.jpg",69.0275423728814,3.583333333
"14898266.jpg",38.7727272727273,2.455284552
"15012954.jpg",25.8910256410256,1.983333333
"16057476.jpg",41.6363636363636,2.552845528
"16079437.jpg",53.0868644067797,2.991666666
"16523804.jpg",42.1806722689076,2.586776859
"16799807.jpg",39.9030172413793,2.516666666
"17606027.jpg",69.3863636363636,3.560975609
"18238731.jpg",21.1666666666667,1.816666666
"18438855.jpg",74.6207627118644,3.791666666
"19300996.jpg",23.4935897435897,1.9
"19502065.jpg",5.08974358974359,1.191666666
"19943010.jpg",77.2605042016807,3.917355371
"20079130.jpg",44.7179487179487,2.683333333
"20522527.jpg",64.6730769230769,3.441666666
"21852937.jpg",45.8636363636364,2.682926829
"22533278.jpg",50.5,2.908333333
"22848476.jpg",58.0681818181818,3.154471544
"22947511.jpg",13.974358974359,1.55
"23371433.jpg",43.5192307692308,2.658333333
"25239707.jpg",84.275641025641,4.15
"25742613.jpg",17.0769230769231,1.666666666
"26344318.jpg",33.2948717948718,2.275
"26842976.jpg",39.5233050847458,2.466666666
"26847054.jpg",58.6794871794872,3.191666666
"27896611.jpg",56.0705128205128,3.116666666
"28173586.jpg",63.5862068965517,3.366666666
"28311109.jpg",5.16025641025641,1.208333333
"30054528.jpg",69.3072033898305,3.6
"31286602.jpg",80.796218487395,4.066115702
"31490353.jpg",61.8081896551724,3.35
"33000255.jpg",4.70550847457627,1.166666666
"34713269.jpg",34,2.258333333
"34796696.jpg",66.1538461538462,3.483333333
"35002160.jpg",68.468220338983,3.566666666
"35311267.jpg",26.9978991596639,2.033057851
"36434642.jpg",53.6025641025641,3.016666666
"36869449.jpg",64.6228813559322,3.391666666
"37951657.jpg",16.724358974359,1.65
"38056572.jpg",64.8326271186441,3.416666666
"39540491.jpg",73.3088235294118,3.760330578
"41130035.jpg",76.025641025641,3.833333333
"42490373.jpg",62.9461206896552,3.35
"42614998.jpg",55.5609243697479,3.09090909
"43749901.jpg",37.3559322033898,2.408333333
"44009500.jpg",5.5,1.211382113
"45015821.jpg",23.9322033898305,1.9
"45323583.jpg",10.025641025641,1.366666666
"45917867.jpg",23.0474137931034,1.908333333
"46116416.jpg",68.2090517241379,3.541666666
"46658329.jpg",53.7435897435897,3
"46667675.jpg",41.8340336134454,2.561983471
"46766983.jpg",28.4294871794872,2.066666666
"47095522.jpg",67.4194915254237,3.516666666
"47612135.jpg",65.5441176470588,3.47107438
"49445241.jpg",50.5,2.853658536
"49874259.jpg",62.4318181818182,3.325203252
"50012842.jpg",78.8636363636364,3.918699186
"51433626.jpg",40.8181818181818,2.50406504
"52196600.jpg",53.8970588235294,3.033057851
"52568944.jpg",29.0215517241379,2.158333333
"53065971.jpg",23.5826271186441,1.908333333
"56278886.jpg",42.4615384615385,2.6
"57501165.jpg",51.8983050847458,2.958333333
"58449294.jpg",50.6363636363636,2.861788617
"61745002.jpg",47.7727272727273,2.747967479
"62049415.jpg",44.9525862068966,2.7
"62339435.jpg",67.4159663865546,3.545454545
"62458506.jpg",64.5320512820513,3.416666666
"62503983.jpg",36.3974358974359,2.375
"63121245.jpg",50.3577586206897,2.908333333
"63888840.jpg",45.6470588235294,2.694214876
"63920904.jpg",51.5227272727273,2.910569105
"66839471.jpg",63.7954545454545,3.393442622
"68605475.jpg",46.58125,2.733333333
"69161613.jpg",71.74375,3.716666666
"69754716.jpg",65.2272727272727,3.44262295
"70164643.jpg",73.2394957983193,3.752066115
"70272233.jpg",15.8361344537815,1.586776859
"71458295.jpg",62.9789915966387,3.333333333
"71775760.jpg",45.6875,2.7
"73558937.jpg",56.1375,3.123966942
"79475896.jpg",42.86875,2.591666666
"80184044.jpg",3.91176470588235,1.125
"80417582.jpg",38.7836134453782,2.441666666
"80498915.jpg",63.8109243697479,3.383333333
"80954980.jpg",64.59375,3.425
"81006585.jpg",23.046218487395,1.866666666
"81292981.jpg",17.6375,1.633333333
"82183009.jpg",36.13125,2.341666666
"82421401.jpg",21.55625,1.783333333
