image_name,JOD,quality_mos,quality_mos,,,,
4012_Outdoor_Scene_39.jpg,4.968121558,1,1,,,,
129_Indoor_Scene_1.jpg,4.492215155,0.960655155,0.960655155,,,MIN,-7.127653804
1661_Lowlight_Scene_17.jpg,4.46334692,0.958268517,0.958268517,,,MAX,4.968121558
267_Indoor_Scene_2.jpg,4.273182149,0.942546932,0.942546932,,,,
787_Indoor_Scene_8.jpg,4.141262588,0.931640681,0.931640681,,,,
113_Indoor_Scene_1.jpg,4.140722916,0.931596064,0.931596064,,,,
3171_Night_Scene_29.jpg,3.946355361,0.915527019,0.915527019,,,,
3443_Night_Scene_32.JPG,3.917873542,0.913172328,0.913172328,,,,
1916_Lowlight_Scene_19.jpg,3.787941819,0.902430419,0.902430419,,,,
2286_Night_Scene_22.jpg,3.778090548,0.90161598,0.90161598,,,,
4064_Outdoor_Scene_40.jpg,3.777198372,0.90154222,0.90154222,,,,
3724_Outdoor_Scene_36.jpeg,3.754371571,0.899655049,0.899655049,,,,
214_Indoor_Scene_2.jpg,3.689968479,0.89433062,0.89433062,,,,
1456_Lowlight_Scene_14.jpg,3.684613318,0.89388789,0.89388789,,,,
2273_Night_Scene_22.jpg,3.675487949,0.893133464,0.893133464,,,,
2144_Lowlight_Scene_21.jpg,3.628070397,0.88921329,0.88921329,,,,
4288_Outdoor_Scene_41.jpg,3.61291,0.887959927,0.887959927,,,,
2554_Night_Scene_24.jpg,3.611101053,0.887810375,0.887810375,,,,
1766_Lowlight_Scene_18.jpg,3.604210932,0.887240744,0.887240744,,,,
2691_Night_Scene_25.jpg,3.58401709,0.885571249,0.885571249,,,,
3543_Outdoor_Scene_33.JPG,3.581426723,0.885357094,0.885357094,,,,
1779_Lowlight_Scene_18.jpg,3.577120255,0.885001063,0.885001063,,,,
623_Indoor_Scene_6.jpg,3.574914287,0.884818688,0.884818688,,,,
93_Indoor_Scene_1.jpg,3.564145616,0.883928405,0.883928405,,,,
1702_Lowlight_Scene_17.jpg,3.556963588,0.883334641,0.883334641,,,,
4960_Outdoor_Scene_48.jpg,3.549244877,0.882696509,0.882696509,,,,
2841_Night_Scene_27.jpg,3.539049633,0.881853632,0.881853632,,,,
3276_Night_Scene_30.jpg,3.536242682,0.881621572,0.881621572,,,,
